rainfall_mm,elevation_m,drainage_score,previous_water_level_m,flood_severity
215.39,66.0,4,0.86,57.68
302.08,99.83,9,1.8,54.43
41.75,60.27,2,0.0,34.92
258.88,62.23,2,1.58,72.58
23.12,79.49,4,0.0,22.22
292.14,99.62,9,1.46,51.07
262.05,72.28,2,1.79,70.69
108.49,73.83,3,0.59,40.81
262.88,64.46,2,2.27,76.62
198.96,70.34,6,1.56,55.01
118.86,73.0,4,0.71,41.56
167.28,95.15,9,1.57,36.98
92.42,70.38,3,0.84,41.51
125.23,61.01,2,0.78,50.48
173.1,81.65,6,0.85,43.1
213.35,100.36,9,1.0,37.59
223.2,68.15,3,1.3,62.35
267.75,74.67,2,2.25,73.46
62.82,75.92,2,0.67,36.23
220.53,83.36,6,1.72,54.15
227.06,75.95,4,1.9,62.13
92.08,92.94,8,0.77,24.57
23.87,64.69,3,0.03,29.5
305.94,66.82,2,1.34,75.61
258.71,79.11,4,0.97,59.34
125.17,91.68,9,0.69,27.2
195.56,72.41,3,0.59,52.75
270.44,70.4,3,1.67,70.06
145.05,66.41,2,0.44,49.01
51.2,75.3,6,0.77,28.89
87.87,76.96,4,0.69,35.94
197.67,84.48,7,1.21,45.89
282.63,73.37,3,2.0,72.65
143.0,60.97,1,0.45,52.43
179.24,84.01,5,0.65,43.48
313.64,96.23,10,2.6,60.57
158.22,61.6,2,0.85,55.04
124.64,72.3,3,1.36,48.3
177.9,68.5,2,1.5,59.2
19.85,82.48,7,0.75,20.4
85.4,64.74,3,0.86,42.74
44.87,82.39,9,0.54,19.07
229.09,75.41,4,1.68,61.22
102.05,58.48,3,0.76,46.56
94.4,85.39,6,0.56,29.62
291.39,100.81,9,1.82,52.8
138.19,72.65,2,0.37,45.43
137.0,74.95,3,1.29,48.53
279.74,70.19,2,1.34,70.96
230.58,86.01,6,1.8,55.02
64.09,74.55,4,0.32,31.37
92.37,88.53,8,0.45,24.2
74.28,78.72,3,0.76,35.63
105.53,68.04,2,0.75,45.18
222.32,68.26,5,1.88,62.49
316.8,99.36,8,1.73,57.76
255.41,66.17,3,1.01,65.48
245.68,67.35,3,1.45,66.53
201.9,66.44,2,0.87,59.15
169.53,80.51,5,1.33,47.71
302.29,78.07,4,1.88,71.12
243.2,100.7,7,1.26,46.34
107.15,64.17,3,0.72,44.93
312.3,64.59,2,1.62,79.0
243.57,81.26,5,1.59,58.79
269.03,96.66,9,2.14,53.35
167.87,61.74,3,0.47,52.21
92.61,68.71,3,1.15,44.07
228.88,58.91,1,0.93,67.45
308.41,82.21,7,2.33,68.25
83.9,83.51,4,0.67,32.94
142.66,87.39,7,0.72,34.56
290.0,61.06,3,1.65,75.86
142.4,56.61,2,0.38,51.82
72.94,85.12,5,0.07,25.5
63.2,92.29,10,0.0,12.87
172.59,73.14,3,0.55,49.23
311.2,75.07,4,1.47,70.81
266.6,68.1,2,1.17,68.92
46.21,69.91,7,0.0,23.7
50.21,82.46,4,0.35,26.89
212.46,91.82,8,0.97,42.03
225.09,70.21,2,1.01,61.71
271.57,70.63,1,2.0,75.52
263.75,82.61,4,1.49,61.99
310.42,103.18,9,2.43,58.25
255.98,59.19,4,0.97,66.15
179.35,63.0,3,1.3,58.45
70.58,76.91,2,0.4,35.21
66.17,75.86,6,0.51,29.03
263.28,74.49,4,2.07,68.48
30.92,83.06,8,0.75,19.98
310.5,76.75,3,2.52,78.34
112.59,65.58,2,0.76,47.05
136.75,84.55,4,0.29,37.12
99.39,89.69,8,0.79,26.83
83.37,66.22,3,0.73,41.13
133.75,76.3,4,0.78,42.76
300.69,71.09,3,2.33,77.9
207.99,87.7,6,1.54,49.82
315.46,64.17,4,1.41,74.92
155.24,88.58,9,0.46,30.83
103.88,67.49,3,0.84,44.05
177.71,64.01,2,0.95,57.35
42.25,84.28,4,0.09,23.57
39.01,98.51,8,0.29,12.6
191.42,60.18,2,1.72,65.34
233.25,78.05,3,1.78,63.11
239.37,58.89,2,0.87,66.79
215.96,84.14,6,1.63,52.71
56.63,74.21,5,0.46,29.73
270.55,85.53,7,1.05,54.08
83.04,76.22,3,0.71,37.36
89.12,61.85,2,1.07,47.25
228.83,80.65,6,1.14,52.59
154.45,99.66,8,0.59,29.21
201.59,61.3,3,0.77,58.67
291.84,80.01,3,2.2,72.72
82.81,58.49,3,1.01,45.59
303.56,70.42,6,2.53,74.77
142.26,82.54,3,0.44,41.17
269.33,81.24,8,1.85,58.8
107.35,66.52,4,1.26,45.82
179.19,61.55,2,1.33,60.81
212.59,72.0,5,0.7,52.49
104.66,101.43,9,0.88,22.19
167.24,64.53,3,1.19,55.62
28.79,79.17,4,0.61,26.89
132.8,77.34,1,1.21,49.95
191.94,76.02,6,1.42,51.17
245.17,74.31,4,1.22,60.85
318.22,98.01,8,2.13,60.93
20.98,64.95,3,0.5,31.96
243.32,75.01,3,1.68,64.9
186.69,77.71,4,1.05,50.89
196.37,102.57,9,1.03,34.75
115.56,68.5,3,0.77,44.79
271.02,78.18,3,1.29,64.96
180.02,67.0,2,0.93,56.45
183.93,73.38,5,1.32,52.11
296.37,70.51,4,1.78,72.44
212.77,87.24,8,0.82,42.78
69.33,77.05,4,1.03,35.6
86.63,70.1,2,1.18,44.64
101.37,79.3,6,0.75,33.91
124.59,86.96,9,1.07,31.2
222.19,69.91,4,1.42,60.67
205.58,76.3,3,1.76,59.98
307.26,67.99,1,2.26,82.78
94.81,83.54,6,1.04,33.34
65.35,72.43,3,0.0,31.97
188.27,91.19,8,0.67,37.2
48.08,61.6,4,0.0,31.93
207.71,61.06,2,1.57,66.23
63.27,69.63,5,0.8,34.37
211.63,100.91,9,0.7,35.29
283.23,71.83,3,2.15,74.22
68.41,65.94,4,0.36,35.29
23.17,65.73,2,0.0,30.51
21.15,76.86,6,0.32,21.57
309.35,78.33,3,2.3,76.25
27.55,85.62,8,0.0,13.93
72.09,70.69,3,0.31,35.42
277.54,56.86,3,1.43,74.36
215.01,85.11,5,0.8,48.71
290.02,99.43,9,1.38,50.36
136.02,70.7,4,1.23,47.89
292.9,64.52,3,1.27,72.62
93.62,69.02,3,0.38,39.28
93.73,82.99,7,0.12,25.98
202.36,65.89,4,1.85,62.2
135.21,91.27,8,1.12,33.02
222.86,74.98,3,1.1,58.6
278.02,64.64,3,1.37,71.25
309.84,66.05,5,2.23,76.96
102.43,93.87,9,0.24,20.62
155.62,62.18,3,0.41,50.07
214.34,63.56,3,1.63,64.9
169.56,69.2,2,1.69,59.04
196.15,85.42,7,1.26,45.67
286.33,67.63,4,1.72,71.78
316.32,94.24,7,1.91,62.33
215.13,60.35,2,1.36,66.14
290.19,58.27,2,2.24,82.24
82.75,70.08,5,0.99,37.95
249.52,95.93,9,1.69,48.24
278.08,62.06,3,1.82,75.0
256.65,76.26,3,1.8,66.95
196.75,73.83,2,0.61,54.19
106.71,79.2,6,0.03,30.15
147.69,79.17,3,0.86,45.72
215.96,92.05,8,1.66,46.72
161.18,79.46,3,0.57,45.58
93.34,70.2,2,0.4,40.61
139.87,81.18,5,1.13,42.33
256.08,97.86,9,2.07,50.79
206.28,59.49,3,1.64,65.37
63.1,74.43,2,0.49,35.68
141.74,68.35,1,0.89,52.36
17.6,81.44,6,0.66,21.58
289.71,71.56,4,2.01,72.63
170.23,91.64,8,1.01,36.8
200.02,60.35,3,0.62,57.87
208.87,59.79,3,0.73,59.92
66.2,74.65,5,0.54,31.32
22.55,103.11,10,0.0,3.64
157.38,76.75,3,1.53,52.06
155.83,68.84,2,0.93,52.62
311.29,75.17,2,2.09,77.99
18.94,85.41,6,0.0,16.2
173.52,68.35,4,1.47,55.16
124.81,91.05,8,0.83,29.92
124.51,72.72,3,0.99,45.82
250.41,66.17,2,1.35,68.62
117.05,71.64,4,0.69,41.68
39.32,98.56,10,0.08,7.98
160.06,65.06,2,1.08,55.47
88.09,64.26,3,1.18,45.27
46.7,68.01,1,0.69,38.76
184.43,79.1,6,0.59,43.88
128.66,76.16,4,0.32,39.27
135.5,84.19,8,0.42,31.23
21.07,64.79,3,0.23,30.35
281.38,69.26,2,2.36,77.88
41.52,74.87,4,0.0,26.3
65.52,91.61,9,0.41,17.65
297.12,63.36,3,1.46,74.78
34.33,72.31,3,0.0,27.94
166.35,59.9,2,0.84,56.65
96.09,69.89,6,0.56,35.42
67.93,83.64,4,0.9,32.23
27.55,100.19,8,0.0,8.68
304.54,71.9,4,2.45,77.2
47.64,73.85,2,0.4,33.3
220.36,70.94,6,0.9,53.48
84.61,93.5,9,0.87,22.35
177.41,70.52,3,0.53,50.68
99.38,65.84,2,0.34,42.6
100.23,65.21,2,0.3,42.69
276.92,77.32,5,1.36,63.14
262.05,66.54,4,1.54,67.86
124.08,92.93,8,0.48,26.96
187.76,60.31,3,1.64,62.65
243.23,69.21,2,0.89,63.7
90.1,84.7,4,0.14,30.01
136.95,86.62,9,0.82,31.38
292.46,78.59,3,2.48,75.06
279.37,81.5,2,2.38,73.34
49.33,70.22,1,0.36,36.25
146.64,69.05,6,0.6,42.61
211.42,72.43,5,1.9,59.68
203.94,96.3,8,1.88,44.98
165.4,78.5,4,1.1,48.12
227.47,72.17,2,1.51,64.45
112.13,72.05,5,1.2,42.41
266.73,93.28,9,2.04,53.64
85.73,64.8,3,0.14,38.27
87.21,62.66,4,0.78,41.56
30.52,65.64,3,0.55,33.28
112.88,87.79,6,0.94,33.55
185.8,79.89,3,1.21,52.66
233.17,97.03,9,1.71,45.83
166.69,61.01,3,1.21,56.94
111.43,63.31,1,0.12,45.38
163.53,68.09,5,1.01,49.4
189.72,88.09,9,0.56,36.16
67.16,72.08,3,0.7,36.71
276.14,66.31,3,1.5,71.21
113.34,68.7,2,0.29,43.09
114.43,79.35,7,1.35,37.69
96.95,64.48,5,0.4,38.15
144.12,86.07,8,0.39,31.5
269.33,77.45,3,1.37,65.5
140.28,72.71,2,0.69,47.68
311.76,69.11,4,2.38,78.71
285.33,96.69,10,2.24,54.44
292.04,72.81,3,1.58,71.46
82.31,72.66,3,0.74,38.74
204.33,65.2,2,1.82,65.85
227.89,69.97,6,1.39,57.88
88.39,77.37,4,0.53,34.86
268.39,97.27,8,1.34,49.72
284.83,74.89,3,1.83,71.33
110.44,57.82,1,0.12,47.23
286.41,74.81,6,2.05,67.94
273.53,93.83,9,2.06,54.46
304.46,76.5,3,1.77,72.95
305.66,79.08,3,1.6,71.12
314.43,70.4,3,2.56,81.39
73.25,70.5,6,0.21,30.01
191.32,77.71,4,0.97,51.0
193.71,90.64,9,1.03,38.7
183.56,71.15,2,1.0,55.86
204.16,74.81,2,1.8,62.25
195.81,73.7,6,1.05,50.2
17.31,99.94,8,0.23,8.86
169.06,68.57,3,1.0,53.22
180.73,75.63,3,0.74,50.59
157.47,60.95,2,0.83,55.05
309.07,73.74,6,1.49,67.8
35.97,79.87,5,0.52,25.35
92.48,84.2,8,0.74,27.58
166.31,75.65,3,1.46,53.19
156.69,65.81,2,1.47,57.19
217.27,78.9,4,1.63,58.1
49.77,88.86,9,0.63,17.95
273.41,65.75,3,2.06,74.56
49.38,68.9,4,0.36,31.73
271.09,74.85,3,1.06,64.73
56.08,70.66,6,0.98,32.51
151.03,73.53,4,1.19,48.59
138.89,98.17,8,0.28,25.77
116.44,61.64,3,0.85,47.87
57.59,67.44,2,0.03,34.6
153.74,69.22,4,1.53,52.62
92.68,88.07,9,0.01,19.99
165.58,62.47,4,1.35,55.48
107.05,69.76,3,1.05,44.97
58.62,73.39,2,0.23,33.84
232.16,76.04,6,2.05,60.38
19.71,80.26,5,0.26,21.45
79.01,91.69,8,0.77,23.31
111.12,62.75,4,0.15,40.73
186.78,66.72,2,0.54,55.0
151.54,81.67,5,1.37,45.18
16.96,104.01,9,0.35,6.44
207.97,68.37,2,1.76,64.82
103.44,62.24,4,0.75,43.66
16.57,58.29,2,0.0,32.32
59.65,82.24,7,0.15,21.96
200.72,81.06,4,1.9,56.84
313.17,94.6,8,1.89,59.99
53.57,68.41,4,0.03,30.39
143.39,63.27,2,1.24,54.93
55.09,77.47,5,0.0,25.47
182.41,96.4,9,0.79,33.64
191.82,74.51,3,0.68,52.07
23.13,78.2,2,0.74,30.64
35.31,66.65,2,0.18,32.9
296.52,74.17,7,2.07,67.95
169.25,83.93,4,0.56,43.3
230.16,95.04,8,1.29,45.19
265.94,63.95,3,2.01,73.91
212.74,72.93,3,0.94,57.01
202.02,79.37,5,1.59,54.01
206.88,103.24,9,0.91,35.14
74.9,67.56,3,0.89,40.54
25.92,62.55,3,0.0,30.35
32.5,70.75,1,0.0,31.6
131.09,69.15,6,0.58,40.4
218.53,76.67,4,0.88,54.38
124.65,84.79,8,1.36,35.47
54.82,60.31,3,0.18,36.08
85.02,63.75,1,1.16,48.26
183.74,69.17,5,1.3,53.47
198.35,93.11,9,1.62,42.11
216.53,64.96,2,1.23,63.85
290.12,77.41,4,2.28,72.26
203.0,59.89,3,1.02,60.93
95.34,72.74,7,0.5,32.25
309.7,83.73,3,2.37,74.78
38.08,91.28,8,0.83,18.46
75.59,63.51,4,0.72,39.36
117.9,75.56,3,1.3,45.86
318.86,78.01,5,2.38,74.78
76.03,100.36,8,0.41,17.55
112.84,68.4,2,1.03,47.76
97.25,77.32,4,0.99,38.92
137.55,65.59,2,0.33,47.64
231.96,79.62,6,1.26,54.12
163.69,73.55,4,0.76,47.56
148.83,89.9,8,1.27,36.24
56.71,75.54,3,0.44,32.47
118.51,56.89,2,0.91,51.89
200.66,79.63,5,1.47,52.99
85.01,87.56,9,0.04,19.35
192.3,60.71,3,1.52,62.35
156.25,80.59,3,0.77,45.77
36.36,62.65,2,0.16,34.35
75.36,82.64,6,0.74,29.23
131.48,75.33,4,0.67,42.13
30.38,92.27,9,0.0,10.24
299.97,75.48,3,1.25,69.48
253.7,70.06,2,2.05,72.02
60.18,70.18,5,0.11,29.45
17.6,93.96,9,0.48,10.95
290.6,73.76,3,2.33,75.62
154.87,79.72,3,1.48,50.34
155.37,66.02,3,1.36,54.59
266.9,78.25,6,2.11,64.51
152.88,67.04,4,1.32,51.98
38.94,93.26,7,0.14,15.21
253.1,63.14,4,1.35,66.73
53.77,59.38,2,0.66,40.94
188.5,79.93,5,1.08,48.85
253.55,100.62,8,2.14,51.56
242.39,59.47,3,1.93,71.93
46.9,68.61,2,0.5,35.71
129.34,73.95,2,1.39,50.17
167.5,86.0,6,1.02,41.87
156.57,82.65,5,1.07,43.62
159.97,99.98,8,0.44,28.89
60.54,69.8,3,0.78,37.16
23.95,68.26,1,0.57,34.93
286.51,75.18,5,2.31,71.11
143.88,104.45,8,0.43,25.1
119.87,69.39,3,1.22,47.84
15.04,78.64,3,0.28,24.88
181.44,60.4,2,1.25,61.02
100.29,83.18,6,1.15,34.87
57.92,71.44,4,0.61,33.5
45.77,83.26,8,0.0,17.17
185.85,63.04,4,1.7,60.12
117.13,61.58,1,1.1,52.88
75.56,76.09,5,0.26,30.28
58.74,86.73,10,0.8,19.29
234.03,67.59,4,1.52,63.68
121.19,79.57,3,0.78,41.6
182.93,58.39,2,0.52,57.37
306.01,79.26,6,1.89,67.91
242.55,67.53,5,1.66,64.03
37.25,81.73,7,0.0,18.27
273.33,79.34,3,2.33,71.34
18.05,57.08,2,0.0,32.95
187.05,82.43,5,1.44,50.01
174.28,95.98,9,1.66,38.16
159.84,78.74,4,1.61,50.5
